Comparing the following files: 
hadleigh_front_s28_v2/,  hadleigh_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  hadleigh_front_s28_v2_vs_hadleigh_front_s27_v2,  average
(173, 334),     -0.35269,       -0.35269
(380, 387),     -0.35219,       -0.35219
(190, 373),     -0.35218,       -0.35218
(144, 254),     -0.35195,       -0.35195
(155, 390),     -0.35191,       -0.35191
(193, 339),     -0.35165,       -0.35165
(159, 339),     -0.35153,       -0.35153
(255, 380),     -0.35085,       -0.35085
(263, 286),     -0.35058,       -0.35058
(7, 35),     -0.35048,       -0.35048
(63, 247),     -0.34997,       -0.34997
(29, 254),     -0.34958,       -0.34958
(63, 157),     -0.3495,       -0.3495
(155, 417),     -0.34941,       -0.34941
(25, 124),     -0.3488,       -0.3488
(112, 463),     -0.34875,       -0.34875
(157, 300),     -0.34819,       -0.34819
(282, 283),     -0.34809,       -0.34809
(276, 295),     -0.34778,       -0.34778
(382, 385),     -0.34741,       -0.34741
(276, 283),     -0.34726,       -0.34726
(159, 296),     -0.34681,       -0.34681
(380, 390),     -0.34612,       -0.34612
(252, 390),     -0.34602,       -0.34602
(22, 252),     -0.34595,       -0.34595
(7, 46),     -0.3458,       -0.3458
(373, 466),     -0.34571,       -0.34571
(296, 336),     -0.34552,       -0.34552
(133, 380),     -0.34467,       -0.34467
(70, 110),     -0.34451,       -0.34451
(133, 255),     -0.34421,       -0.34421
(258, 383),     -0.34392,       -0.34392
(257, 258),     -0.34348,       -0.34348
(28, 70),     -0.34327,       -0.34327
(105, 158),     -0.34236,       -0.34236
(254, 341),     -0.34225,       -0.34225
(243, 381),     -0.34213,       -0.34213
(257, 276),     -0.3412,       -0.3412
(56, 157),     -0.34118,       -0.34118
(158, 254),     -0.34103,       -0.34103
(256, 387),     -0.34063,       -0.34063
(296, 385),     -0.33974,       -0.33974
(63, 254),     -0.33943,       -0.33943
(341, 385),     -0.33914,       -0.33914
(158, 276),     -0.33888,       -0.33888
(160, 293),     -0.33875,       -0.33875
(341, 374),     -0.33867,       -0.33867
(193, 387),     -0.3381,       -0.3381
(105, 254),     -0.33767,       -0.33767
(257, 282),     -0.33743,       -0.33743
(154, 362),     -0.33648,       -0.33648
(249, 390),     -0.33636,       -0.33636
(173, 255),     -0.33632,       -0.33632
(28, 158),     -0.3358,       -0.3358
(374, 388),     -0.33488,       -0.33488
(249, 385),     -0.33465,       -0.33465
(105, 159),     -0.33368,       -0.33368
(27, 156),     -0.33337,       -0.33337
(29, 161),     -0.33267,       -0.33267
(265, 417),     -0.33261,       -0.33261
(265, 387),     -0.33222,       -0.33222
(52, 158),     -0.33193,       -0.33193
(390, 414),     -0.33185,       -0.33185
(193, 243),     -0.33121,       -0.33121
(153, 255),     -0.33092,       -0.33092
(133, 390),     -0.33078,       -0.33078
(145, 256),     -0.3307,       -0.3307
(373, 382),     -0.33057,       -0.33057
(27, 158),     -0.33035,       -0.33035
(23, 254),     -0.33022,       -0.33022
(252, 263),     -0.33011,       -0.33011
(158, 336),     -0.32996,       -0.32996
(249, 253),     -0.32983,       -0.32983
(65, 158),     -0.32974,       -0.32974
(398, 467),     -0.32952,       -0.32952
(46, 157),     -0.32936,       -0.32936
(27, 53),     -0.3288,       -0.3288
(30, 158),     -0.32765,       -0.32765
(46, 130),     -0.32746,       -0.32746
(154, 390),     -0.32719,       -0.32719
(259, 466),     -0.32689,       -0.32689
(24, 254),     -0.32599,       -0.32599
(334, 383),     -0.32594,       -0.32594
(260, 467),     -0.32489,       -0.32489
(133, 381),     -0.3239,       -0.3239
(193, 374),     -0.32348,       -0.32348
(193, 386),     -0.32333,       -0.32333
(28, 252),     -0.32221,       -0.32221
(153, 381),     -0.32178,       -0.32178
(157, 336),     -0.32099,       -0.32099
