Comparing the following files: 
kelly_front_s28_v2/,  kelly_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s28_v2_vs_kelly_front_s27_v2,  average
(107, 263),     -0.13446,       -0.13446
(52, 388),     -0.13444,       -0.13444
(33, 53),     -0.13394,       -0.13394
(26, 110),     -0.13389,       -0.13389
(56, 63),     -0.13385,       -0.13385
(63, 466),     -0.13373,       -0.13373
(66, 296),     -0.13348,       -0.13348
(25, 53),     -0.13345,       -0.13345
(105, 300),     -0.13317,       -0.13317
(336, 467),     -0.13316,       -0.13316
(53, 383),     -0.13307,       -0.13307
(70, 296),     -0.13305,       -0.13305
(66, 466),     -0.13297,       -0.13297
(255, 353),     -0.13272,       -0.13272
(65, 282),     -0.13269,       -0.13269
(160, 336),     -0.13265,       -0.13265
(110, 190),     -0.13262,       -0.13262
(295, 387),     -0.13253,       -0.13253
(55, 66),     -0.13246,       -0.13246
(56, 466),     -0.13241,       -0.13241
(33, 161),     -0.13231,       -0.13231
(66, 334),     -0.13221,       -0.13221
(56, 387),     -0.13198,       -0.13198
(161, 246),     -0.13193,       -0.13193
(256, 339),     -0.13184,       -0.13184
(66, 193),     -0.13183,       -0.13183
(65, 283),     -0.13183,       -0.13183
(63, 388),     -0.13156,       -0.13156
(66, 285),     -0.13118,       -0.13118
(258, 296),     -0.13109,       -0.13109
(52, 466),     -0.1309,       -0.1309
(55, 334),     -0.13089,       -0.13089
(63, 257),     -0.13086,       -0.13086
(257, 296),     -0.13075,       -0.13075
(63, 259),     -0.13051,       -0.13051
(387, 414),     -0.13049,       -0.13049
(30, 105),     -0.13042,       -0.13042
(107, 161),     -0.13039,       -0.13039
(385, 388),     -0.13031,       -0.13031
(53, 466),     -0.12998,       -0.12998
(63, 263),     -0.12997,       -0.12997
(263, 388),     -0.12988,       -0.12988
(63, 265),     -0.12972,       -0.12972
(65, 300),     -0.12962,       -0.12962
(160, 383),     -0.12958,       -0.12958
(259, 466),     -0.12957,       -0.12957
(110, 353),     -0.12946,       -0.12946
(249, 417),     -0.12929,       -0.12929
(65, 295),     -0.12915,       -0.12915
(24, 382),     -0.12895,       -0.12895
(28, 293),     -0.12874,       -0.12874
(263, 359),     -0.1287,       -0.1287
(66, 388),     -0.12862,       -0.12862
(386, 388),     -0.12856,       -0.12856
(156, 466),     -0.12855,       -0.12855
(156, 387),     -0.12851,       -0.12851
(247, 293),     -0.12849,       -0.12849
(24, 362),     -0.12847,       -0.12847
(156, 263),     -0.12846,       -0.12846
(56, 263),     -0.12831,       -0.12831
(153, 154),     -0.12811,       -0.12811
(295, 336),     -0.12809,       -0.12809
(29, 300),     -0.128,       -0.128
(56, 65),     -0.128,       -0.128
(65, 296),     -0.12786,       -0.12786
(163, 383),     -0.12771,       -0.12771
(46, 293),     -0.12761,       -0.12761
(28, 300),     -0.1275,       -0.1275
(7, 25),     -0.12749,       -0.12749
(63, 247),     -0.12741,       -0.12741
(158, 295),     -0.12736,       -0.12736
(157, 296),     -0.12728,       -0.12728
(263, 466),     -0.12721,       -0.12721
(53, 387),     -0.12716,       -0.12716
(46, 300),     -0.12702,       -0.12702
(110, 383),     -0.12688,       -0.12688
(46, 263),     -0.12686,       -0.12686
(66, 295),     -0.12677,       -0.12677
(263, 286),     -0.1267,       -0.1267
(156, 161),     -0.1266,       -0.1266
(66, 293),     -0.12658,       -0.12658
(46, 386),     -0.12645,       -0.12645
(276, 417),     -0.12638,       -0.12638
(159, 383),     -0.12637,       -0.12637
(66, 263),     -0.12624,       -0.12624
(65, 336),     -0.12613,       -0.12613
(263, 387),     -0.12581,       -0.12581
(286, 388),     -0.12573,       -0.12573
(105, 173),     -0.12553,       -0.12553
(388, 466),     -0.12543,       -0.12543
