Comparing the following files: 
kelly_front_s2_v2/,  hadleigh_front_s2_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s2_v2_vs_hadleigh_front_s2_v2,  average
(293, 380),     -0.19672,       -0.19672
(339, 388),     -0.19671,       -0.19671
(339, 466),     -0.19655,       -0.19655
(7, 23),     -0.1964,       -0.1964
(341, 467),     -0.19631,       -0.19631
(252, 386),     -0.19607,       -0.19607
(110, 287),     -0.19572,       -0.19572
(159, 193),     -0.19543,       -0.19543
(285, 384),     -0.19507,       -0.19507
(256, 466),     -0.19499,       -0.19499
(27, 133),     -0.19473,       -0.19473
(154, 292),     -0.1945,       -0.1945
(381, 466),     -0.1945,       -0.1945
(380, 386),     -0.19404,       -0.19404
(52, 110),     -0.19385,       -0.19385
