Comparing the following files: 
hadleigh_front_s1_v2/,  hadleigh_low_s1_v2/,  hadleigh_right_threequarter_s1_v2/,  hadleigh_left_threequarter_s1_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s1_v2_vs_hadleigh_low_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_right_threequarter_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  average
(52, 66),     0.52182,       0.40233,       0.56012,       0.72592,       0.52402,       0.48577,       0.53666
(110, 362),     0.56643,       0.59788,       0.38994,       0.75765,       0.51507,       0.39276,       0.53662
(110, 295),     0.5722,       0.76827,       0.58269,       0.4463,       0.34399,       0.50628,       0.53662
(130, 385),     0.68499,       0.5849,       0.30142,       0.7547,       0.43331,       0.45992,       0.53654
(53, 107),     0.63335,       0.4612,       0.52357,       0.66081,       0.44027,       0.49195,       0.53519
(24, 374),     0.52401,       0.53577,       0.53145,       0.6478,       0.4786,       0.49096,       0.53477
(24, 341),     0.51812,       0.5907,       0.43729,       0.76602,       0.47965,       0.4165,       0.53471
(144, 384),     0.61735,       0.51865,       0.45958,       0.6672,       0.54983,       0.39478,       0.53457
(55, 163),     0.46395,       0.71957,       0.63185,       0.46809,       0.41234,       0.50605,       0.53364
(145, 385),     0.62846,       0.53429,       0.45909,       0.66724,       0.52517,       0.38537,       0.53327
(98, 291),     0.71061,       0.46099,       0.53731,       0.54449,       0.57575,       0.36861,       0.53296
(124, 336),     0.65293,       0.4941,       0.60185,       0.68102,       0.37383,       0.39339,       0.53285
(33, 259),     0.63874,       0.5839,       0.37301,       0.63643,       0.48637,       0.47322,       0.53195
(133, 157),     0.76364,       0.62454,       0.31377,       0.65132,       0.51551,       0.32218,       0.53183
(46, 107),     0.64492,       0.38629,       0.59191,       0.66891,       0.47178,       0.42151,       0.53089
(158, 173),     0.77497,       0.42603,       0.54523,       0.41962,       0.62163,       0.39662,       0.53068
(110, 145),     0.75543,       0.56521,       0.38951,       0.61135,       0.36278,       0.49964,       0.53065
(23, 386),     0.59899,       0.62939,       0.47514,       0.62875,       0.48569,       0.36425,       0.53037
(25, 381),     0.61528,       0.59194,       0.32471,       0.78134,       0.43384,       0.42972,       0.52947
(24, 362),     0.51194,       0.58491,       0.45678,       0.69659,       0.52197,       0.40161,       0.52897
(110, 259),     0.53408,       0.72388,       0.53172,       0.40776,       0.45341,       0.51681,       0.52794
(7, 384),     0.62798,       0.51848,       0.34489,       0.75634,       0.52783,       0.39135,       0.52781
(56, 130),     0.69857,       0.61962,       0.53307,       0.58895,       0.3822,       0.34357,       0.52766
(24, 145),     0.66866,       0.71174,       0.37779,       0.62608,       0.42542,       0.35572,       0.52757
(163, 257),     0.61517,       0.66059,       0.47863,       0.49316,       0.46736,       0.44881,       0.52729
(246, 257),     0.69902,       0.51165,       0.3944,       0.61758,       0.49487,       0.4453,       0.52714
(110, 341),     0.56314,       0.57168,       0.35659,       0.7976,       0.45986,       0.41398,       0.52714
(7, 157),     0.62842,       0.69189,       0.48501,       0.62034,       0.47461,       0.25883,       0.52652
(107, 130),     0.45991,       0.53868,       0.62981,       0.65164,       0.42199,       0.4565,       0.52642
(145, 286),     0.64632,       0.61064,       0.60737,       0.38796,       0.48984,       0.41138,       0.52558
(124, 258),     0.66015,       0.55024,       0.46515,       0.69019,       0.36543,       0.4201,       0.52521
(35, 384),     0.7882,       0.55547,       0.44327,       0.66624,       0.43594,       0.26114,       0.52504
(24, 256),     0.50897,       0.56843,       0.42953,       0.76114,       0.43542,       0.44561,       0.52485
(247, 296),     0.58473,       0.69304,       0.51997,       0.58173,       0.31083,       0.4583,       0.52477
(33, 385),     0.6535,       0.49913,       0.32186,       0.7603,       0.49543,       0.41794,       0.52469
(246, 293),     0.48016,       0.6345,       0.52429,       0.58631,       0.41162,       0.50943,       0.52438
(7, 259),     0.5834,       0.61195,       0.41902,       0.55702,       0.49422,       0.47972,       0.52422
(25, 380),     0.58773,       0.56969,       0.36991,       0.73956,       0.41168,       0.46192,       0.52342
(33, 157),     0.58517,       0.6577,       0.52141,       0.59674,       0.45492,       0.32287,       0.52314
(35, 285),     0.72116,       0.47232,       0.58658,       0.61648,       0.41681,       0.32098,       0.52239
(22, 285),     0.44239,       0.8104,       0.63112,       0.46758,       0.22802,       0.55164,       0.52186
(130, 386),     0.62985,       0.55371,       0.31848,       0.72144,       0.44168,       0.4657,       0.52181
(23, 380),     0.44186,       0.60851,       0.55823,       0.59883,       0.45558,       0.46301,       0.521
(155, 158),     0.76493,       0.58693,       0.37642,       0.59357,       0.51332,       0.29036,       0.52092
(145, 414),     0.53803,       0.59147,       0.56195,       0.53602,       0.50673,       0.39127,       0.52091
(33, 293),     0.4719,       0.68379,       0.50956,       0.57576,       0.39106,       0.49325,       0.52089
(130, 259),     0.60733,       0.67153,       0.35176,       0.59326,       0.40298,       0.49746,       0.52072
(144, 336),     0.42368,       0.78004,       0.60579,       0.49484,       0.27917,       0.52954,       0.51884
(145, 384),     0.57017,       0.48705,       0.49185,       0.63298,       0.52982,       0.39536,       0.51787
(24, 257),     0.52933,       0.74041,       0.56826,       0.36145,       0.41458,       0.49308,       0.51785
