Comparing the following files: 
krithika_front_s3_v1/groups,  krithika_low_s3_v1/groups,  krithika_threequarter_s3_v1/groups,  

Correlation cuttoff is 0.8
landmark(s),  krithika_front_s3_v1groups_vs_krithika_low_s3_v1groups,  krithika_front_s3_v1groups_vs_krithika_threequarter_s3_v1groups,  krithika_low_s3_v1groups_vs_krithika_threequarter_s3_v1groups,  average
(84, 327),     0.81027,       0.88788,       0.71952,       0.80589
(39, 40),     0.81094,       0.87207,       0.73369,       0.80557
(0, 78),     0.80767,       0.86181,       0.74545,       0.80498
(78, 146),     0.81061,       0.90191,       0.70214,       0.80489
(39, 185),     0.79537,       0.88849,       0.72972,       0.80453
(181, 327),     0.81513,       0.88254,       0.71589,       0.80452
(66, 181),     0.73841,       0.91399,       0.761,       0.80447
(40, 185),     0.78086,       0.90343,       0.7275,       0.80393
(87, 327),     0.8192,       0.89396,       0.69798,       0.80371
(178, 311),     0.81565,       0.88548,       0.70959,       0.80357
(17, 52),     0.7526,       0.89171,       0.76595,       0.80342
(193, 321),     0.75401,       0.86766,       0.78698,       0.80288
(37, 324),     0.83274,       0.85927,       0.71575,       0.80259
(193, 318),     0.76039,       0.89055,       0.75679,       0.80258
(65, 84),     0.73899,       0.9039,       0.7644,       0.80243
(13, 146),     0.80104,       0.90859,       0.69731,       0.80231
(55, 87),     0.76386,       0.90706,       0.73595,       0.80229
(0, 62),     0.80387,       0.85977,       0.74267,       0.8021
(88, 270),     0.7927,       0.87284,       0.739,       0.80151
(39, 318),     0.84613,       0.86418,       0.69172,       0.80068
(53, 405),     0.7915,       0.85895,       0.75053,       0.80033
