Comparing the following files: 
kelly_front_s28_v2/,  kelly_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s28_v2_vs_kelly_front_s27_v2,  average
(25, 334),     -0.1716,       -0.1716
(25, 282),     -0.17143,       -0.17143
(110, 243),     -0.17098,       -0.17098
(33, 306),     -0.17097,       -0.17097
(27, 276),     -0.17086,       -0.17086
(334, 467),     -0.17085,       -0.17085
(334, 359),     -0.17074,       -0.17074
(46, 285),     -0.17046,       -0.17046
(29, 76),     -0.17011,       -0.17011
(76, 300),     -0.17011,       -0.17011
(161, 257),     -0.16993,       -0.16993
(161, 258),     -0.1698,       -0.1698
(70, 388),     -0.16975,       -0.16975
(26, 144),     -0.16914,       -0.16914
(63, 336),     -0.1691,       -0.1691
(257, 336),     -0.16899,       -0.16899
(155, 243),     -0.1689,       -0.1689
(28, 63),     -0.1689,       -0.1689
(263, 467),     -0.16884,       -0.16884
(61, 260),     -0.16876,       -0.16876
(29, 283),     -0.16871,       -0.16871
(70, 466),     -0.16833,       -0.16833
(63, 78),     -0.16792,       -0.16792
(130, 300),     -0.16776,       -0.16776
(46, 283),     -0.16767,       -0.16767
(246, 257),     -0.16762,       -0.16762
(110, 112),     -0.16752,       -0.16752
(55, 173),     -0.16705,       -0.16705
(29, 55),     -0.16692,       -0.16692
(98, 276),     -0.16683,       -0.16683
(29, 78),     -0.16666,       -0.16666
(70, 265),     -0.16665,       -0.16665
(28, 283),     -0.16663,       -0.16663
(28, 276),     -0.16658,       -0.16658
(107, 173),     -0.16652,       -0.16652
(285, 334),     -0.16652,       -0.16652
(61, 63),     -0.16632,       -0.16632
(52, 173),     -0.16623,       -0.16623
(260, 336),     -0.16611,       -0.16611
(53, 283),     -0.1658,       -0.1658
(339, 374),     -0.16567,       -0.16567
(260, 295),     -0.16555,       -0.16555
(246, 258),     -0.16535,       -0.16535
(156, 246),     -0.16505,       -0.16505
(55, 105),     -0.16503,       -0.16503
(158, 282),     -0.16501,       -0.16501
(7, 353),     -0.16485,       -0.16485
(57, 157),     -0.16464,       -0.16464
(61, 300),     -0.16425,       -0.16425
(7, 383),     -0.16384,       -0.16384
(247, 292),     -0.16367,       -0.16367
(46, 282),     -0.16346,       -0.16346
(70, 157),     -0.16324,       -0.16324
(70, 263),     -0.16304,       -0.16304
(56, 70),     -0.163,       -0.163
(253, 254),     -0.163,       -0.163
(33, 257),     -0.16267,       -0.16267
(66, 105),     -0.16252,       -0.16252
(263, 384),     -0.1623,       -0.1623
(57, 287),     -0.16203,       -0.16203
(70, 255),     -0.16202,       -0.16202
(57, 62),     -0.16191,       -0.16191
(291, 292),     -0.16191,       -0.16191
(53, 285),     -0.16171,       -0.16171
(286, 296),     -0.16157,       -0.16157
(110, 276),     -0.16124,       -0.16124
(27, 334),     -0.16118,       -0.16118
(25, 46),     -0.16086,       -0.16086
(63, 276),     -0.16082,       -0.16082
(253, 362),     -0.16063,       -0.16063
(70, 387),     -0.16051,       -0.16051
(27, 33),     -0.16046,       -0.16046
(161, 292),     -0.16036,       -0.16036
(66, 336),     -0.16034,       -0.16034
(46, 276),     -0.16032,       -0.16032
(283, 293),     -0.16028,       -0.16028
(130, 161),     -0.15977,       -0.15977
(160, 291),     -0.15972,       -0.15972
(157, 334),     -0.15969,       -0.15969
(296, 398),     -0.15964,       -0.15964
(105, 334),     -0.15963,       -0.15963
(27, 293),     -0.15956,       -0.15956
(29, 61),     -0.15951,       -0.15951
(157, 282),     -0.1593,       -0.1593
(52, 295),     -0.15926,       -0.15926
(291, 306),     -0.15885,       -0.15885
(252, 341),     -0.15869,       -0.15869
(57, 130),     -0.1585,       -0.1585
(33, 66),     -0.15794,       -0.15794
(334, 336),     -0.1578,       -0.1578
(334, 466),     -0.15745,       -0.15745
(53, 62),     -0.15743,       -0.15743
(35, 57),     -0.1574,       -0.1574
(282, 467),     -0.15727,       -0.15727
(57, 249),     -0.15726,       -0.15726
(247, 283),     -0.15721,       -0.15721
(28, 52),     -0.15715,       -0.15715
(53, 276),     -0.15681,       -0.15681
(296, 359),     -0.15661,       -0.15661
(33, 258),     -0.15643,       -0.15643
(33, 107),     -0.15619,       -0.15619
(30, 283),     -0.15611,       -0.15611
(65, 388),     -0.15604,       -0.15604
(130, 282),     -0.15597,       -0.15597
(282, 359),     -0.15585,       -0.15585
(53, 76),     -0.15578,       -0.15578
(57, 70),     -0.15565,       -0.15565
(25, 383),     -0.15564,       -0.15564
(292, 306),     -0.15521,       -0.15521
(7, 52),     -0.15521,       -0.15521
(46, 291),     -0.15518,       -0.15518
(46, 306),     -0.15509,       -0.15509
(144, 155),     -0.15492,       -0.15492
(159, 295),     -0.15485,       -0.15485
(46, 353),     -0.15452,       -0.15452
(105, 283),     -0.15433,       -0.15433
(52, 282),     -0.15404,       -0.15404
(70, 383),     -0.15401,       -0.15401
(163, 293),     -0.154,       -0.154
(25, 63),     -0.15399,       -0.15399
(336, 359),     -0.15399,       -0.15399
(263, 385),     -0.15378,       -0.15378
(145, 154),     -0.15377,       -0.15377
(46, 295),     -0.15356,       -0.15356
(158, 292),     -0.1535,       -0.1535
(28, 417),     -0.1535,       -0.1535
(263, 417),     -0.15325,       -0.15325
(158, 258),     -0.15323,       -0.15323
(29, 276),     -0.15322,       -0.15322
(161, 308),     -0.15305,       -0.15305
(70, 249),     -0.15295,       -0.15295
(65, 466),     -0.1529,       -0.1529
(63, 334),     -0.15288,       -0.15288
(156, 291),     -0.15268,       -0.15268
(65, 327),     -0.15266,       -0.15266
(63, 296),     -0.15257,       -0.15257
(339, 382),     -0.15236,       -0.15236
(53, 78),     -0.15222,       -0.15222
(70, 467),     -0.15222,       -0.15222
(70, 293),     -0.15211,       -0.15211
(25, 353),     -0.15194,       -0.15194
(258, 327),     -0.15192,       -0.15192
(7, 286),     -0.1511,       -0.1511
(55, 63),     -0.15107,       -0.15107
(159, 291),     -0.15084,       -0.15084
(63, 353),     -0.15074,       -0.15074
(260, 334),     -0.15063,       -0.15063
(296, 327),     -0.15059,       -0.15059
(70, 259),     -0.15034,       -0.15034
(30, 282),     -0.15028,       -0.15028
(386, 414),     -0.15017,       -0.15017
(336, 387),     -0.15011,       -0.15011
(144, 153),     -0.14987,       -0.14987
(296, 467),     -0.14957,       -0.14957
(160, 296),     -0.14939,       -0.14939
(112, 144),     -0.14936,       -0.14936
(7, 259),     -0.14921,       -0.14921
(52, 285),     -0.14902,       -0.14902
(78, 276),     -0.14883,       -0.14883
(55, 70),     -0.14882,       -0.14882
(28, 105),     -0.14881,       -0.14881
(66, 173),     -0.14879,       -0.14879
(46, 292),     -0.14872,       -0.14872
(385, 466),     -0.14853,       -0.14853
(46, 247),     -0.14845,       -0.14845
(63, 293),     -0.1484,       -0.1484
(286, 336),     -0.14833,       -0.14833
(158, 308),     -0.14802,       -0.14802
