Comparing the following files: 
kelly_front_s1_v2/,  hadleigh_front_s1_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s1_v2_vs_hadleigh_front_s1_v2,  average
(159, 276),     -0.22649,       -0.22649
(66, 291),     -0.22605,       -0.22605
(61, 156),     -0.22565,       -0.22565
(80, 324),     -0.22538,       -0.22538
(95, 383),     -0.22511,       -0.22511
(78, 87),     -0.2248,       -0.2248
(292, 317),     -0.22453,       -0.22453
(63, 362),     -0.22434,       -0.22434
(153, 306),     -0.22374,       -0.22374
(154, 417),     -0.22373,       -0.22373
(14, 306),     -0.22368,       -0.22368
(159, 327),     -0.22362,       -0.22362
(383, 398),     -0.22353,       -0.22353
(124, 154),     -0.22339,       -0.22339
(35, 267),     -0.22318,       -0.22318
(154, 291),     -0.22241,       -0.22241
(308, 324),     -0.22221,       -0.22221
(105, 375),     -0.22209,       -0.22209
(62, 310),     -0.22107,       -0.22107
(178, 292),     -0.22107,       -0.22107
(70, 381),     -0.22056,       -0.22056
(153, 291),     -0.22044,       -0.22044
(98, 185),     -0.21999,       -0.21999
(62, 287),     -0.2199,       -0.2199
(61, 405),     -0.21988,       -0.21988
(144, 306),     -0.21928,       -0.21928
(13, 270),     -0.21907,       -0.21907
(33, 158),     -0.21898,       -0.21898
(145, 292),     -0.21861,       -0.21861
(88, 300),     -0.2182,       -0.2182
(76, 317),     -0.21795,       -0.21795
(63, 173),     -0.21711,       -0.21711
(153, 292),     -0.21694,       -0.21694
(14, 265),     -0.21665,       -0.21665
(62, 87),     -0.21637,       -0.21637
(98, 161),     -0.21594,       -0.21594
(33, 159),     -0.21558,       -0.21558
(70, 382),     -0.21558,       -0.21558
(156, 267),     -0.2155,       -0.2155
(39, 311),     -0.2153,       -0.2153
(146, 321),     -0.21515,       -0.21515
(178, 353),     -0.21388,       -0.21388
(33, 375),     -0.21365,       -0.21365
(124, 269),     -0.21337,       -0.21337
(35, 146),     -0.21316,       -0.21316
(70, 417),     -0.21277,       -0.21277
(155, 417),     -0.21258,       -0.21258
(87, 383),     -0.2125,       -0.2125
(84, 265),     -0.21233,       -0.21233
(155, 287),     -0.21232,       -0.21232
(78, 95),     -0.21118,       -0.21118
(145, 308),     -0.2111,       -0.2111
(88, 314),     -0.21017,       -0.21017
(88, 308),     -0.21013,       -0.21013
