Comparing the following files: 
hadleigh_front_s2_v2/,  hadleigh_low_s2_v2/,  hadleigh_right_threequarter_s2_v2/,  hadleigh_left_threequarter_s2_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s2_v2_vs_hadleigh_low_s2_v2,  hadleigh_front_s2_v2_vs_hadleigh_right_threequarter_s2_v2,  hadleigh_front_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  hadleigh_low_s2_v2_vs_hadleigh_right_threequarter_s2_v2,  hadleigh_low_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  hadleigh_right_threequarter_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  average
(292, 375),     0.9233,       0.92236,       0.85414,       0.90694,       0.91566,       0.8676,       0.89833
(146, 292),     0.93436,       0.91108,       0.91116,       0.85571,       0.9212,       0.85569,       0.8982
(76, 310),     0.89909,       0.94642,       0.89853,       0.86907,       0.88424,       0.89184,       0.8982
(17, 292),     0.89796,       0.92107,       0.89263,       0.91042,       0.87666,       0.89029,       0.89817
(81, 191),     0.89012,       0.9564,       0.83556,       0.93169,       0.87276,       0.8997,       0.89771
(40, 402),     0.92332,       0.94184,       0.85511,       0.93402,       0.90305,       0.82777,       0.89752
(185, 324),     0.92596,       0.94421,       0.86951,       0.89545,       0.91503,       0.83463,       0.89746
(263, 292),     0.9133,       0.92579,       0.89494,       0.92714,       0.86547,       0.85647,       0.89719
(270, 387),     0.91723,       0.94674,       0.87006,       0.93557,       0.86092,       0.8525,       0.89717
(14, 317),     0.91179,       0.92504,       0.89478,       0.94391,       0.84702,       0.85993,       0.89708
(291, 375),     0.90843,       0.92257,       0.88042,       0.89695,       0.88638,       0.88767,       0.89707
(276, 310),     0.92625,       0.95829,       0.87817,       0.90902,       0.87231,       0.83839,       0.89707
(191, 270),     0.92562,       0.94481,       0.86435,       0.92533,       0.84877,       0.87282,       0.89695
(39, 287),     0.90751,       0.93101,       0.87247,       0.93555,       0.85728,       0.87428,       0.89635
(37, 306),     0.93395,       0.85902,       0.91937,       0.92168,       0.92952,       0.81256,       0.89602
(310, 415),     0.92252,       0.89206,       0.87996,       0.94343,       0.91551,       0.81946,       0.89549
(178, 317),     0.93253,       0.94987,       0.85637,       0.91754,       0.86845,       0.84787,       0.89544
(82, 308),     0.95841,       0.87535,       0.92335,       0.90509,       0.92894,       0.78116,       0.89538
(300, 310),     0.91378,       0.96194,       0.88357,       0.8828,       0.87719,       0.85248,       0.89529
(185, 270),     0.91048,       0.93743,       0.8754,       0.89711,       0.86524,       0.88594,       0.89527
(265, 287),     0.88806,       0.95067,       0.90816,       0.87962,       0.86703,       0.87787,       0.89524
(78, 81),     0.87347,       0.95332,       0.84267,       0.93023,       0.86977,       0.90084,       0.89505
(387, 415),     0.93377,       0.95074,       0.84985,       0.93826,       0.86877,       0.82868,       0.89501
(270, 374),     0.91427,       0.9236,       0.88854,       0.93169,       0.86569,       0.84586,       0.89494
(291, 314),     0.9084,       0.90118,       0.89224,       0.90742,       0.89131,       0.86804,       0.89477
(270, 300),     0.90872,       0.9555,       0.89924,       0.88621,       0.86077,       0.85814,       0.89476
(82, 292),     0.95878,       0.86918,       0.92568,       0.90347,       0.92897,       0.78199,       0.89468
(87, 318),     0.95478,       0.86387,       0.91818,       0.84384,       0.92136,       0.86576,       0.89463
(39, 269),     0.9166,       0.91439,       0.87695,       0.90378,       0.88569,       0.86963,       0.89451
(80, 191),     0.8865,       0.9462,       0.82167,       0.95176,       0.86792,       0.89296,       0.8945
(82, 306),     0.95784,       0.86717,       0.92714,       0.90504,       0.92629,       0.78353,       0.8945
(95, 324),     0.9183,       0.92769,       0.84657,       0.9359,       0.89337,       0.84499,       0.89447
(37, 324),     0.91207,       0.90565,       0.87598,       0.95385,       0.90186,       0.8117,       0.89352
(310, 386),     0.92743,       0.94982,       0.83615,       0.93394,       0.88141,       0.83131,       0.89334
(185, 310),     0.92885,       0.92038,       0.89093,       0.85555,       0.91824,       0.84492,       0.89314
(17, 306),     0.89869,       0.91223,       0.89257,       0.89455,       0.87694,       0.88338,       0.89306
(291, 321),     0.89612,       0.9081,       0.89587,       0.90441,       0.87711,       0.8753,       0.89282
(146, 291),     0.93378,       0.90585,       0.91101,       0.83779,       0.91615,       0.85228,       0.89281
(82, 375),     0.93357,       0.8992,       0.89489,       0.93104,       0.90906,       0.78843,       0.8927
(40, 321),     0.91945,       0.92366,       0.86488,       0.94228,       0.88918,       0.81666,       0.89268
(263, 306),     0.90882,       0.92231,       0.89209,       0.92147,       0.86088,       0.85032,       0.89265
(270, 276),     0.91255,       0.95045,       0.89578,       0.90529,       0.84801,       0.84334,       0.89257
(62, 81),     0.8621,       0.95146,       0.85057,       0.92556,       0.86416,       0.90062,       0.89241
(61, 310),     0.89224,       0.9465,       0.89532,       0.85846,       0.87189,       0.88901,       0.89224
(78, 80),     0.86617,       0.94253,       0.83618,       0.94401,       0.86564,       0.89744,       0.89199
(82, 191),     0.88013,       0.96048,       0.84502,       0.90203,       0.86618,       0.8978,       0.89194
(375, 405),     0.9009,       0.90778,       0.89336,       0.9178,       0.88147,       0.84942,       0.89179
(146, 310),     0.89238,       0.93727,       0.89631,       0.85749,       0.86366,       0.90245,       0.89159
(80, 270),     0.93106,       0.93778,       0.85019,       0.91737,       0.86943,       0.84277,       0.89143
(146, 409),     0.89194,       0.93707,       0.90141,       0.85897,       0.86299,       0.89553,       0.89132
(88, 324),     0.9398,       0.88323,       0.89463,       0.8722,       0.9144,       0.84299,       0.89121
(78, 82),     0.86408,       0.95891,       0.8503,       0.90442,       0.86631,       0.9009,       0.89082
(76, 375),     0.90818,       0.95001,       0.84949,       0.89855,       0.89551,       0.84261,       0.89072
(311, 388),     0.90434,       0.95004,       0.84607,       0.92497,       0.8655,       0.85316,       0.89068
(191, 312),     0.89513,       0.95641,       0.86729,       0.86938,       0.86343,       0.89188,       0.89059
(300, 308),     0.89149,       0.94659,       0.90432,       0.88477,       0.86416,       0.85209,       0.89057
(375, 383),     0.90406,       0.93862,       0.90634,       0.86638,       0.88449,       0.84328,       0.89053
(0, 409),     0.92636,       0.85786,       0.91195,       0.91717,       0.91897,       0.81074,       0.89051
(265, 324),     0.90921,       0.92132,       0.90527,       0.88319,       0.8903,       0.83294,       0.89037
(37, 267),     0.91947,       0.90815,       0.8866,       0.89869,       0.88417,       0.84404,       0.89019
(78, 311),     0.88107,       0.95262,       0.89366,       0.8497,       0.86816,       0.89588,       0.89018
(185, 287),     0.92841,       0.9502,       0.85109,       0.90252,       0.84653,       0.86105,       0.88997
(311, 387),     0.90849,       0.9487,       0.83523,       0.93082,       0.87035,       0.84593,       0.88992
(310, 380),     0.92352,       0.9264,       0.85637,       0.92269,       0.88546,       0.82453,       0.88983
(82, 291),     0.95645,       0.8598,       0.9265,       0.90248,       0.92005,       0.77349,       0.88979
(311, 373),     0.89726,       0.9418,       0.85977,       0.92192,       0.86174,       0.85609,       0.88976
(57, 310),     0.93021,       0.92645,       0.89823,       0.83983,       0.84897,       0.89478,       0.88975
(13, 415),     0.95058,       0.86975,       0.91641,       0.90645,       0.92374,       0.77126,       0.8897
(292, 300),     0.88847,       0.94513,       0.90567,       0.88273,       0.86305,       0.85272,       0.88963
(314, 415),     0.87169,       0.9269,       0.8359,       0.95806,       0.87013,       0.87492,       0.8896
(269, 409),     0.91847,       0.87645,       0.88943,       0.93,       0.90777,       0.81523,       0.88956
(84, 308),     0.89088,       0.92165,       0.89869,       0.85726,       0.86718,       0.90082,       0.88941
(40, 317),     0.8935,       0.93983,       0.8343,       0.93871,       0.88479,       0.8449,       0.88934
(37, 291),     0.93183,       0.8473,       0.91737,       0.91362,       0.92553,       0.79975,       0.88923
(311, 390),     0.89091,       0.94728,       0.86162,       0.91551,       0.85118,       0.86743,       0.88899
(269, 270),     0.91597,       0.8876,       0.88498,       0.93273,       0.89882,       0.81371,       0.88897
(57, 324),     0.87884,       0.95065,       0.88401,       0.87359,       0.86117,       0.88523,       0.88891
(373, 409),     0.9277,       0.91425,       0.88299,       0.91917,       0.87042,       0.81885,       0.8889
